Name,GUID,Length,Width,Start_Point,Mid_Point,End_Point,Building_Storey
Basic Wall:STB 275:2762432,1Xj1LpTKn0hwDOnO9U2t5k,5.622980669664308,0.27499999999999813,"[61.585000000000015, 21.10249999999975, 7.629999999999997]","[64.39649033483217, 21.10249999999975, 7.629999999999997]","[67.20798066966432, 21.10249999999975, 7.629999999999997]",1. OG OK
Basic Wall:STB 390:2766567,3D5qRfIm1269iJpmMZIbVj,70.20000000000003,0.3900000000011872,"[69.68, 25.36071332266386, 7.619999999999999]","[34.57999999999999, 25.36071332266386, 7.619999999999999]","[-0.5200000000000244, 25.36071332266386, 7.619999999999999]",1. OG OK
Basic Wall:STB 450:2771780,3qrzZYNmP1KvcWccARQzD$,12.574999999999978,0.45000000000000173,"[69.625, 19.054999999999932, -3.825]","[69.625, 12.767499999999943, -3.825]","[69.625, 6.479999999999954, -3.825]",1. UG OK
Basic Wall:STB 200:2772219,3qrzZYNmP1KvcWccARQzJ0,1.0000000000000064,0.19999999999999785,"[69.85, 17.98500000000001, -3.825]","[70.35, 17.98500000000001, -3.825]","[70.85, 17.98500000000001, -3.825]",1. UG OK
Basic Wall:STB 200:2772321,3qrzZYNmP1KvcWccARQzLQ,2.0000000000000133,0.2000000000000065,"[70.75, 17.885000000000005, -3.825]","[70.75, 16.884999999999998, -3.825]","[70.75, 15.884999999999991, -3.825]",1. UG OK
Basic Wall:STB 200:2772363,3qrzZYNmP1KvcWccARQzMm,0.8000000000000087,0.19999999999999785,"[70.65, 15.984999999999992, -3.825]","[70.25, 15.984999999999992, -3.825]","[69.85, 15.984999999999992, -3.825]",1. UG OK
Basic Wall:STB 200:2772722,3qrzZYNmP1KvcWccARQzR9,1.000000000000015,0.19999999999999785,"[69.85, 12.245000000000015, -3.825]","[70.35, 12.245000000000015, -3.825]","[70.85000000000001, 12.245000000000015, -3.825]",1. UG OK
Basic Wall:STB 200:2772759,3qrzZYNmP1KvcWccARQzSi,2.000000000000009,0.2000000000000065,"[70.75, 12.145000000000012, -3.825]","[70.75, 11.145000000000007, -3.825]","[70.75, 10.145000000000003, -3.825]",1. UG OK
Basic Wall:STB 200:2772794,3qrzZYNmP1KvcWccARQzS1,0.8000000000000174,0.19999999999999785,"[70.65, 10.245000000000001, -3.825]","[70.25, 10.245000000000001, -3.825]","[69.85, 10.245000000000001, -3.825]",1. UG OK
Basic Wall:STB 200:2772860,3qrzZYNmP1KvcWccARQzT7,1.0000000000000324,0.2,"[69.84999999999998, 9.375000000000014, -3.825]","[70.35, 9.375000000000014, -3.825]","[70.85000000000001, 9.375000000000014, -3.825]",1. UG OK
Basic Wall:STB 200:2772938,3qrzZYNmP1KvcWccARQzVn,2.000000000000015,0.2000000000000065,"[70.75000000000001, 9.275000000000011, -3.825]","[70.75000000000001, 8.275000000000004, -3.825]","[70.75000000000001, 7.274999999999996, -3.825]",1. UG OK
Basic Wall:STB 200:2772969,3qrzZYNmP1KvcWccARQzVI,0.8000000000000347,0.2,"[70.65000000000002, 7.374999999999997, -3.825]","[70.25, 7.374999999999997, -3.825]","[69.84999999999998, 7.374999999999997, -3.825]",1. UG OK
Basic Wall:STB 350:2773389,3qrzZYNmP1KvcWccARQycs,8.379999999999992,0.3500000000000006,"[70.06000000000002, 6.304999999999955, -3.825]","[65.87000000000002, 6.304999999999955, -3.825]","[61.68000000000002, 6.304999999999955, -3.825]",1. UG OK
Basic Wall:STB 450:2773595,3qrzZYNmP1KvcWccARQyfW,6.370000000000017,0.4500000000000017,"[69.83500000000001, 6.1299999999999555, -3.825]","[69.83500000000001, 2.944999999999947, -3.825]","[69.83500000000001, -0.2400000000000615, -3.825]",1. UG OK
Basic Wall:STB 450:2774047,3qrzZYNmP1KvcWccARQyma,70.51000000000002,0.4500000000000004,"[69.61, -0.015000000000059634, -3.825]","[34.35499999999999, -0.015000000000059634, -3.825]","[-0.9000000000000199, -0.015000000000059634, -3.825]",1. UG OK
Basic Wall:STB 450:2774234,3qrzZYNmP1KvcWccARQypX,6.264999999999806,0.45000000000000007,"[-0.6750000000000104, 0.21000000000016705, -3.825]","[-0.6750000000000104, 3.34250000000007, -3.825]","[-0.6750000000000104, 6.474999999999973, -3.825]",1. UG OK
Basic Wall:STB 200:2774457,3qrzZYNmP1KvcWccARQys2,0.9999999999999272,0.2000000000000065,"[68.34, -0.2400000000000552, -3.825]","[68.34, -0.7400000000000189, -3.825]","[68.34, -1.2399999999999824, -3.825]",1. UG OK
Basic Wall:STB 200:2774479,3qrzZYNmP1KvcWccARQytq,2.000000000000022,0.2,"[68.24000000000001, -1.1399999999999817, -3.825]","[67.24, -1.1399999999999817, -3.825]","[66.23999999999998, -1.1399999999999817, -3.825]",1. UG OK
Basic Wall:STB 200:2774505,3qrzZYNmP1KvcWccARQytI,0.7999999999999272,0.2000000000000065,"[66.33999999999999, -1.039999999999976, -3.825]","[66.33999999999999, -0.6400000000000124, -3.825]","[66.33999999999999, -0.24000000000004884, -3.825]",1. UG OK
Basic Wall:STB 200:2774749,3qrzZYNmP1KvcWccARQyxc,0.510000000000014,0.2,"[69.54999999999998, -0.3500000000000615, -3.825]","[69.80499999999999, -0.3500000000000615, -3.825]","[70.06, -0.3500000000000615, -3.825]",1. UG OK
Basic Wall:STB 200:2774912,3qrzZYNmP1KvcWccARQy_x,0.999999999999927,0.2000000000000065,"[64.69999999999997, -0.24000000000004343, -3.825]","[64.69999999999997, -0.740000000000007, -3.825]","[64.69999999999997, -1.2399999999999705, -3.825]",1. UG OK
Basic Wall:STB 200:2774969,3qrzZYNmP1KvcWccARQy_2,2.0000000000000133,0.1999999999999999,"[64.59999999999998, -1.13999999999997, -3.825]","[63.59999999999997, -1.13999999999997, -3.825]","[62.599999999999966, -1.13999999999997, -3.825]",1. UG OK
Basic Wall:STB 200:2774998,3qrzZYNmP1KvcWccARQy$j,0.7999999999999271,0.2000000000000065,"[62.699999999999974, -1.039999999999964, -3.825]","[62.699999999999974, -0.6400000000000006, -3.825]","[62.699999999999974, -0.24000000000003696, -3.825]",1. UG OK
Basic Wall:STB 300:2775108,3qrzZYNmP1KvcWccARQy1$,3.3499999999999788,0.30000000000000115,"[57.61, -0.2400000000000206, -3.825]","[57.61, -1.91500000000001, -3.825]","[57.61, -3.5899999999999994, -3.825]",1. UG OK
Basic Wall:STB 300:2775196,3qrzZYNmP1KvcWccARQy2d,16.8079165469106,0.30000000000000016,"[57.459999999999994, -3.4399999999999986, -3.825]","[49.05604172654469, -3.4399999999999986, -3.825]","[40.65208345308939, -3.4399999999999986, -3.825]",1. UG OK
Basic Wall:STB 300:2775285,3qrzZYNmP1KvcWccARQy3E,3.218870395908147,0.30000000000000204,"[40.81579524248827, -3.3263806541530525, -3.825]","[40.42544654036425, -1.7649999999999544, -3.825]","[40.03509783824022, -0.20361934584685626, -3.825]",1. UG OK
Basic Wall:STB 200:2775361,3qrzZYNmP1KvcWccARQy5w,1.0000000000001281,0.19999999999999785,"[29.03999999999998, -0.2399999999999282, -3.825]","[29.03999999999998, -0.7399999999999923, -3.825]","[29.03999999999998, -1.2400000000000564, -3.825]",1. UG OK
Basic Wall:STB 200:2775402,3qrzZYNmP1KvcWccARQy5H,3.489999999999982,0.2,"[28.93999999999998, -1.1400000000000556, -3.825]","[27.19499999999999, -1.1400000000000556, -3.825]","[25.45, -1.1400000000000556, -3.825]",1. UG OK
Basic Wall:STB 200:2775430,3qrzZYNmP1KvcWccARQy6z,0.8000000000001282,0.19999999999999785,"[25.549999999999997, -1.0400000000000449, -3.825]","[25.549999999999997, -0.6399999999999808, -3.825]","[25.549999999999997, -0.23999999999991672, -3.825]",1. UG OK
Basic Wall:STB 300:2775665,3qrzZYNmP1KvcWccARQy9A,3.300000000000174,0.3000000000000011,"[24.81, -0.2399999999999146, -3.825]","[24.81, -1.8900000000000015, -3.825]","[24.81, -3.5400000000000884, -3.825]",1. UG OK
Basic Wall:STB 300:2775746,3qrzZYNmP1KvcWccARQyBv,14.064999999999992,0.30000000000000004,"[24.659999999999993, -3.390000000000087, -3.825]","[17.627499999999998, -3.390000000000087, -3.825]","[10.595, -3.390000000000087, -3.825]",1. UG OK
Basic Wall:STB 300:2775787,3qrzZYNmP1KvcWccARQyBG,3.0000000000001736,0.3000000000000011,"[10.745000000000003, -3.2400000000000424, -3.825]","[10.745000000000003, -1.7399999999999556, -3.825]","[10.745000000000003, -0.23999999999986876, -3.825]",1. UG OK
Basic Wall:STB 200:2775877,3qrzZYNmP1KvcWccARQyD_,0.9999999999999997,0.19999999999999785,"[13.740000000000004, -0.239999999999879, -3.825]","[13.740000000000004, -0.7399999999998789, -3.825]","[13.740000000000004, -1.2399999999998788, -3.825]",1. UG OK
Basic Wall:STB 200:2776032,3qrzZYNmP1KvcWccARQyFR,2.000000000000009,0.2,"[13.64, -1.1399999999998784, -3.825]","[12.639999999999997, -1.1399999999998784, -3.825]","[11.639999999999992, -1.1399999999998784, -3.825]",1. UG OK
Basic Wall:STB 200:2776062,3qrzZYNmP1KvcWccARQyF5,0.7999999999999997,0.19999999999999785,"[11.739999999999991, -1.0399999999998721, -3.825]","[11.739999999999991, -0.6399999999998722, -3.825]","[11.739999999999991, -0.23999999999987243, -3.825]",1. UG OK
Basic Wall:STB 200:2776112,3qrzZYNmP1KvcWccARQyGB,0.9999999999999996,0.19999999999999785,"[17.380000000000003, -0.2399999999998908, -3.825]","[17.380000000000003, -0.7399999999998905, -3.825]","[17.380000000000003, -1.2399999999998903, -3.825]",1. UG OK
Basic Wall:STB 200:2776150,3qrzZYNmP1KvcWccARQyHj,2.000000000000009,0.2,"[17.28, -1.13999999999989, -3.825]","[16.279999999999998, -1.13999999999989, -3.825]","[15.279999999999992, -1.13999999999989, -3.825]",1. UG OK
Basic Wall:STB 200:2776172,3qrzZYNmP1KvcWccARQyHN,0.7999999999999995,0.19999999999999785,"[15.37999999999999, -1.039999999999884, -3.825]","[15.37999999999999, -0.6399999999998842, -3.825]","[15.37999999999999, -0.23999999999988442, -3.825]",1. UG OK
Basic Wall:STB 200:2776254,3qrzZYNmP1KvcWccARQyI5,0.9999999999999999,0.19999999999999785,"[21.020000000000003, -0.2399999999999023, -3.825]","[21.020000000000003, -0.7399999999999022, -3.825]","[21.020000000000003, -1.239999999999902, -3.825]",1. UG OK
Basic Wall:STB 200:2776438,3qrzZYNmP1KvcWccARQyLD,2.0000000000000044,0.1999999999999999,"[20.92, -1.1399999999999018, -3.825]","[19.92, -1.1399999999999018, -3.825]","[18.919999999999998, -1.1399999999999018, -3.825]",1. UG OK
Basic Wall:STB 200:2776479,3qrzZYNmP1KvcWccARQyMa,0.7999999999999994,0.19999999999999785,"[19.019999999999996, -1.0399999999998955, -3.825]","[19.019999999999996, -0.6399999999998958, -3.825]","[19.019999999999996, -0.23999999999989607, -3.825]",1. UG OK
Basic Wall:STB 150:2776608,3qrzZYNmP1KvcWccARQyOR,0.950000000000128,0.15000000000000055,"[23.73499999999999, -0.23999999999991106, -3.825]","[23.73499999999999, -0.714999999999975, -3.825]","[23.73499999999999, -1.190000000000039, -3.825]",1. UG OK
Basic Wall:STB 150:2776638,3qrzZYNmP1KvcWccARQyO5,1.0499999999999996,0.15000000000000002,"[23.65999999999999, -1.1150000000000384, -3.825]","[23.13499999999999, -1.1150000000000384, -3.825]","[22.60999999999999, -1.1150000000000384, -3.825]",1. UG OK
Basic Wall:STB 150:2776671,3qrzZYNmP1KvcWccARQyPa,0.8000000000001279,0.15000000000000055,"[22.684999999999988, -1.0400000000000356, -3.825]","[22.684999999999988, -0.6399999999999716, -3.825]","[22.684999999999988, -0.23999999999990762, -3.825]",1. UG OK
Basic Wall:STB 200:2776762,3qrzZYNmP1KvcWccARQyQ1,0.9999999999999997,0.2,"[6.46000000000001, -0.23999999999985536, -3.825]","[6.46000000000001, -0.7399999999998552, -3.825]","[6.46000000000001, -1.239999999999855, -3.825]",1. UG OK
Basic Wall:STB 200:2776785,3qrzZYNmP1KvcWccARQyRg,2.00000000000001,0.2,"[6.360000000000008, -1.1399999999998545, -3.825]","[5.360000000000003, -1.1399999999998545, -3.825]","[4.359999999999998, -1.1399999999998545, -3.825]",1. UG OK
Basic Wall:STB 200:2776813,3qrzZYNmP1KvcWccARQyRM,0.7999999999999997,0.2,"[4.459999999999998, -1.0399999999998486, -3.825]","[4.459999999999998, -0.6399999999998487, -3.825]","[4.459999999999998, -0.2399999999998489, -3.825]",1. UG OK
Basic Wall:STB 200:2776888,3qrzZYNmP1KvcWccARQyS3,0.9999999999999994,0.2,"[2.820000000000009, -0.23999999999984362, -3.825]","[2.820000000000009, -0.7399999999998433, -3.825]","[2.820000000000009, -1.239999999999843, -3.825]",1. UG OK
Basic Wall:STB 200:2776922,3qrzZYNmP1KvcWccARQyTX,2.000000000000011,0.1999999999999999,"[2.720000000000008, -1.1399999999998427, -3.825]","[1.7200000000000026, -1.1399999999998427, -3.825]","[0.7199999999999971, -1.1399999999998427, -3.825]",1. UG OK
Basic Wall:STB 200:2776945,3qrzZYNmP1KvcWccARQyTA,0.7999999999999995,0.2,"[0.8199999999999977, -1.0399999999998366, -3.825]","[0.8199999999999977, -0.6399999999998369, -3.825]","[0.8199999999999977, -0.23999999999983712, -3.825]",1. UG OK
